,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
-10,0,-9.5,-18,-25.5,-32,-37.5,-42,-45.5,-48,-49.5,-50,-49.5,-48,-45.5,-42,-37.5,-32,-25.5,-18,-9.5,0
-9,9.5,0,-8.5,-16,-22.5,-28,-32.5,-36,-38.5,-40,-40.5,-40,-38.5,-36,-32.5,-28,-22.5,-16,-8.5,0,9.5
-8,18,8.5,0,-7.5,-14,-19.5,-24,-27.5,-30,-31.5,-32,-31.5,-30,-27.5,-24,-19.5,-14,-7.5,0,8.5,18
-7,25.5,16,7.5,0,-6.5,-12,-16.5,-20,-22.5,-24,-24.5,-24,-22.5,-20,-16.5,-12,-6.5,0,7.5,16,25.5
-6,32,22.5,14,6.5,0,-5.5,-10,-13.5,-16,-17.5,-18,-17.5,-16,-13.5,-10,-5.5,0,6.5,14,22.5,32
-5,37.5,28,19.5,12,5.5,0,-4.5,-8,-10.5,-12,-12.5,-12,-10.5,-8,-4.5,0,5.5,12,19.5,28,37.5
-4,42,32.5,24,16.5,10,4.5,0,-3.5,-6,-7.5,-8,-7.5,-6,-3.5,0,4.5,10,16.5,24,32.5,42
-3,45.5,36,27.5,20,13.5,8,3.5,0,-2.5,-4,-4.5,-4,-2.5,0,3.5,8,13.5,20,27.5,36,45.5
-2,48,38.5,30,22.5,16,10.5,6,2.5,0,-1.5,-2,-1.5,0,2.5,6,10.5,16,22.5,30,38.5,48
-1,49.5,40,31.5,24,17.5,12,7.5,4,1.5,0,-0.5,0,1.5,4,7.5,12,17.5,24,31.5,40,49.5
0,50,40.5,32,24.5,18,12.5,8,4.5,2,0.5,0,0.5,2,4.5,8,12.5,18,24.5,32,40.5,50
1,49.5,40,31.5,24,17.5,12,7.5,4,1.5,0,-0.5,0,1.5,4,7.5,12,17.5,24,31.5,40,49.5
2,48,38.5,30,22.5,16,10.5,6,2.5,0,-1.5,-2,-1.5,0,2.5,6,10.5,16,22.5,30,38.5,48
3,45.5,36,27.5,20,13.5,8,3.5,0,-2.5,-4,-4.5,-4,-2.5,0,3.5,8,13.5,20,27.5,36,45.5
4,42,32.5,24,16.5,10,4.5,0,-3.5,-6,-7.5,-8,-7.5,-6,-3.5,0,4.5,10,16.5,24,32.5,42
5,37.5,28,19.5,12,5.5,0,-4.5,-8,-10.5,-12,-12.5,-12,-10.5,-8,-4.5,0,5.5,12,19.5,28,37.5
6,32,22.5,14,6.5,0,-5.5,-10,-13.5,-16,-17.5,-18,-17.5,-16,-13.5,-10,-5.5,0,6.5,14,22.5,32
7,25.5,16,7.5,0,-6.5,-12,-16.5,-20,-22.5,-24,-24.5,-24,-22.5,-20,-16.5,-12,-6.5,0,7.5,16,25.5
8,18,8.5,0,-7.5,-14,-19.5,-24,-27.5,-30,-31.5,-32,-31.5,-30,-27.5,-24,-19.5,-14,-7.5,0,8.5,18
9,9.5,0,-8.5,-16,-22.5,-28,-32.5,-36,-38.5,-40,-40.5,-40,-38.5,-36,-32.5,-28,-22.5,-16,-8.5,0,9.5
10,0,-9.5,-18,-25.5,-32,-37.5,-42,-45.5,-48,-49.5,-50,-49.5,-48,-45.5,-42,-37.5,-32,-25.5,-18,-9.5,0
